,Unnamed: 0,endTime,artistName,trackName,msPlayed,trackID,duration_ms,key,mode,time_signature,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo
105,105,12/30/2019 01:48,Anderson .Paak,Bubblin,16520,6BvtitRX5lQC87YlA6rq0n,209093.0,1.0,1.0,5.0,0.0731,0.568,0.873,0.0,0.367,-5.22,0.265,0.547,106.783
106,106,12/30/2019 01:48,Vince Staples,Blue Suede,22530,6w6SW8zyEcyxwSR7Wya45a,218040.0,7.0,1.0,4.0,0.108,0.415,0.745,6.69e-05,0.526,-5.902,0.174,0.468,84.926
107,107,12/30/2019 01:49,PnB Rock,TTM (feat. Wiz Khalifa & NGHTMRE),6260,2lH43POZa4XHxydnZizET5,212000.0,6.0,0.0,4.0,0.0975,0.786,0.82,0.0,0.0751,-3.254,0.0587,0.597,120.047
108,108,12/30/2019 01:49,Young Thug,Hot (feat. Gunna),11080,5Z8HZM6iQMhhqyPcCGY5g9,193027.0,0.0,0.0,4.0,0.063,0.855,0.651,0.0,0.0772,-8.044,0.235,0.559,111.997
109,109,12/30/2019 01:49,Vince Staples,FUN!,39740,41uX0L4bro4KfKtDIIEFFe,171107.0,0.0,1.0,4.0,0.616,0.953,0.554,0.000869,0.106,-5.12,0.076,0.457,101.011
110,110,12/30/2019 01:50,Arizona Zervas,ROXANNE,38250,696DnlkuDOXcMAnKlTgXXK,163636.0,6.0,0.0,5.0,0.0522,0.621,0.601,0.0,0.46,-5.616,0.148,0.457,116.735
111,111,12/30/2019 01:53,Octavian,Bet (feat. Skepta & Michael Phantom),166143,3JrYkRVUNq5QLUgVJMCLYz,169211.0,7.0,1.0,4.0,0.00124,0.857,0.6,2.75e-05,0.124,-8.694,0.38,0.841,156.065
112,112,12/30/2019 01:55,Ron Suno,PINOCCHIO,125204,5GO45r4u84nc3QvdoVw4YP,124982.0,8.0,1.0,4.0,0.0451,0.87,0.854,0.0,0.29,-4.819,0.475,0.76,140.12
113,113,12/30/2019 01:57,Vince Staples,Love Can Be...,178826,6q0wu4qjc9XVyqqRv7vlMZ,178827.0,7.0,1.0,4.0,0.0165,0.692,0.634,0.000644,0.459,-6.741,0.0996,0.338,123.946
114,114,12/30/2019 01:59,Joey Purp,Elastic,126385,4MAADpR6MjelkaZqe3Mgnv,126386.0,1.0,1.0,4.0,0.0604,0.966,0.435,0.22,0.0511,-4.944,0.0674,0.561,111.16
115,115,12/30/2019 02:01,Playboi Carti,Poke It Out (with Nicki Minaj),57461,2rPSFKzGeqUWwfcCFVkkq3,269813.0,9.0,1.0,4.0,0.0969,0.894,0.59,8.9e-06,0.329,-5.716,0.221,0.576,147.009
116,116,12/30/2019 02:01,Danny Brown,Grown Up,8020,2KrkWcSP0oFWBUZzvj9KjS,139931.0,11.0,1.0,4.0,0.132,0.635,0.766,0.0,0.122,-6.459,0.26,0.685,93.603
117,117,12/30/2019 02:01,Danny Brown,Dirty Laundry,26330,0tu5HH23FGMhQiJxHRK3bp,184004.0,2.0,1.0,4.0,0.295,0.555,0.615,3.22e-06,0.297,-6.477,0.287,0.436,174.076
